,Name,Party,Took_office,Left_office,Time in office
0,Jawaharlal Nehru,Indian National Congress,1947-08-15,1952-04-15,"16 years, 286 days"
1,Jawaharlal Nehru,Indian National Congress,1952-04-15,1957-04-17,"16 years, 286 days"
2,Jawaharlal Nehru,Indian National Congress,1957-04-17,1962-04-02,"16 years, 286 days"
3,Jawaharlal Nehru,Indian National Congress,1962-04-02,1964-05-27,"16 years, 286 days"
4,Gulzarilal Nanda,Indian National Congress,1964-05-27,1964-06-09,13 days
5,Lal Bahadur Shastri,Indian National Congress,1964-06-09,1966-01-11,"1 year, 216 days"
6,Gulzarilal Nanda,Indian National Congress,1966-01-11,1966-01-24,13 days
7,Indira Gandhi,Indian National Congress,1966-01-24,1967-03-04,"11 years, 59 days"
8,Indira Gandhi,Indian National Congress,1967-03-04,1971-03-15,"11 years, 59 days"
9,Indira Gandhi,Indian National Congress,1971-03-15,1977-03-24,"11 years, 59 days"
10,Morarji Desai,Janata Party,1977-03-24,1979-07-28,"2 years, 126 days"
11,Charan Singh,Janata Party (Secular),1979-07-28,1980-01-14,170 days
12,Indira Gandhi,Indian National Congress (I),1980-01-14,1984-10-31,"4 years, 291 days"
13,Rajiv Gandhi,Indian National Congress (I),1984-10-31,1984-12-31,"5 years, 32 days"
14,Rajiv Gandhi,Indian National Congress (I),1984-12-31,1989-12-02,"5 years, 32 days"
15,Vishwanath Pratap Singh,Janata Dal(National Front),1989-12-02,1990-11-10,343 days
16,Chandra Shekhar,Samajwadi Janata Party (Rashtriya),1990-11-10,1991-06-21,223 days
17,P. V. Narasimha Rao,Indian National Congress (I),1991-06-21,1996-05-16,"4 years, 330 days"
18,Atal Bihari Vajpayee,Bharatiya Janata Party,1996-05-16,1996-06-01,16 days
19,H. D. Deve Gowda,Janata Dal(United Front),1996-06-01,1997-04-21,324 days
20,Inder Kumar Gujral,Janata Dal(United Front),1997-04-21,1998-03-19,332 days
21,Atal Bihari Vajpayee,Bharatiya Janata Party(NDA),1998-03-19,1999-10-13,"6 years, 64 days"
22,Atal Bihari Vajpayee,Bharatiya Janata Party(NDA),1999-10-13,2004-05-22,"6 years, 64 days"
23,Manmohan Singh,Indian National Congress(UPA),2004-05-22,2009-05-22,"10 years, 4 days"
24,Manmohan Singh,Indian National Congress(UPA),2009-05-22,2014-05-26,"10 years, 4 days"
25,Narendra Modi,Bharatiya Janata Party(NDA),2014-05-26,2019-05-30,"7 years, 361 days"
