Name,Tenure
Atal Bihari Vajpayee,757 days 08:00:00
Chandra Shekhar,223 days 00:00:00
Charan Singh,170 days 00:00:00
Gulzarilal Nanda,13 days 00:00:00
H. D. Deve Gowda,324 days 00:00:00
Inder Kumar Gujral,332 days 00:00:00
Indira Gandhi,1457 days 06:00:00
Jawaharlal Nehru,1532 days 12:00:00
Lal Bahadur Shastri,581 days 00:00:00
Manmohan Singh,1828 days 00:00:00
Morarji Desai,856 days 00:00:00
Narendra Modi,1830 days 00:00:00
P. V. Narasimha Rao,1791 days 00:00:00
Rajiv Gandhi,929 days 00:00:00
Vishwanath Pratap Singh,343 days 00:00:00
